Section,Field,Buyer input,Supplier response or deviation
Project,Product being packed,,
Project,Packaging format,,
Project,Quantity and acceptable over-under tolerance,,
Dimensions,Product dimensions and unit,,
Dimensions,Required internal package dimensions and unit,,
Dimensions,Maximum external package dimensions and unit,,
Material,Specified substrate or required performance,,
Printing,Print process colors coverage and white ink,,
Finishing,Lamination varnish foil embossing window or texture,,
Components,Insert closure zipper valve magnet ribbon or handle,,
Artwork,Artwork status and editable file format,,
Approval,Dieline proof physical sample and color target,,
Testing,Distribution or performance test method and conditions,,
Quality,Inspection method defect definitions and acceptance evidence,,
Export packing,Units per carton,,
Export packing,Outer carton L x W x H and unit,,
Export packing,Carton gross and net weight,,
Export packing,Pallet and carton label requirements,,
Delivery,Destination city postal code and country,,
Delivery,Incoterms rule named place or port and edition,,
Delivery,Included freight insurance customs and destination services,,
Commercial,Unit price at the fixed specification and quantity,,
Commercial,Tooling plates cylinders molds and setup,,
Commercial,Sample proof test inspection and courier charges,,
Commercial,Quote validity payment terms and exclusions,,
Compliance,Buyer-supplied market and product requirements,,
Compliance,Project-specific documents requested for verification,,
